OVERALL,PICK,PLAYER,MLB,POS,BID,TEAM,OWNER
77,7.5,Yu Darvish,SD,SP,19,Grey Albright,Razzball
78,7.6,Triston McKenzie,CLE,SP,16,Shelly Verougstraete,NBC Sports Edge
79,7.7,Gleyber Torres,NYY,2B,12,Eric Cross,RotoBaller/FTN
80,7.8,Byron Buxton,MIN,CF,13,Craig Mish,Sports Grid
81,7.9,Sandy Alcantara,MIA,SP,24,Eric Cross,RotoBaller/FTN
82,7.1,Jordan Romano,TOR,RP,13,Ray Murphy,Baseball HQ
83,7.11,Kevin Gausman,TOR,SP,22,Shelly Verougstraete,NBC Sports Edge
84,7.12,Zack Wheeler,PHI,SP,20,Nick Pollack,Pitcher List
85,8.1,Jose Altuve,HOU,2B,24,Ariel Cohen,Beat the Shift Podcast
86,8.2,Joe Musgrove,SD,SP,12,Brian Feldman,FantasyBaseballAuctioneer.com
87,8.3,Ozzie Albies,ATL,2B,18,Adam Ronis,Fantasy Alarm
88,8.4,Raisel Iglesias,ATL,RP,14,Brian Feldman,FantasyBaseballAuctioneer.com
89,8.5,Starling Marte,NYM,CF,14,Brian Feldman,FantasyBaseballAuctioneer.com
90,8.6,Adolis Garcia,TEX,RF,15,Ray Murphy,Baseball HQ
91,8.7,Tyler O'Neill,STL,RF,16,Ariel Cohen,Beat the Shift Podcast
92,8.8,Salvador Perez,KC,C,15,Ray Murphy,Baseball HQ
93,8.9,Robbie Ray,SEA,SP,15,Nick Pollack,Pitcher List
94,8.1,George Springer,TOR,RF,19,Brian Feldman,FantasyBaseballAuctioneer.com
95,8.11,Corbin Carroll,ARI,CF,23,Shelly Verougstraete,NBC Sports Edge
96,8.12,Christian Walker,ARI,1B,8,Ariel Cohen,Beat the Shift Podcast
97,9.1,Clayton Kershaw,LAD,SP,10,Ray Murphy,Baseball HQ
98,9.2,Gunnar Henderson,BAL,3B,14,Craig Mish,Sports Grid
99,9.3,Oneil Cruz,PIT,SS,23,Carlos Marcano,BP (Marcano) - Northan
100,9.4,Xander Bogaerts,SD,SS,12,Ariel Cohen,Beat the Shift Podcast
101,9.5,Zac Gallen,ARI,SP,20,Doug Anderson,Fantrax
102,9.6,Lance Lynn,CWS,SP,10,Grey Albright,Razzball
103,9.7,Andres Gimenez,CLE,2B,12,Ryan Hallam,Fantasy Alarm
104,9.8,Tommy Edman,STL,2B,13,Ryan Hallam,Fantasy Alarm
105,9.9,Marcus Stroman,CHC,SP,2,Doug Anderson,Fantrax
106,9.1,Jorge Polanco,MIN,2B,8,Brian Feldman,FantasyBaseballAuctioneer.com
107,9.11,Rhys Hoskins,PHI,1B,10,Adam Ronis,Fantasy Alarm
108,9.12,Nate Lowe,TEX,1B,13,Brian Feldman,FantasyBaseballAuctioneer.com
109,10.1,Brandon Lowe,TB,2B,7,Ray Murphy,Baseball HQ
110,10.2,Julio Urias,LAD,SP,16,Carlos Marcano,BP (Marcano) - Northan
111,10.3,Whit Merrifield,TOR,2B,3,Craig Mish,Sports Grid
112,10.4,Ryan Pressly,HOU,RP,11,Ryan Hallam,Fantasy Alarm
113,10.5,Nestor Cortes Jr.,NYY,RP,10,Ryan Hallam,Fantasy Alarm
114,10.6,Tyler Stephenson,CIN,C,9,Craig Mish,Sports Grid
115,10.7,Felix Bautista,BAL,RP,9,Eric Cross,RotoBaller/FTN
116,10.8,Carlos Correa,MIN,SS,10,Shelly Verougstraete,NBC Sports Edge
